id,source_id,condition_id,drug_id
212,2,335,DB00764
213,2,29,DB00788
214,2,100,DB00788
215,2,139,DB00788
216,2,279,DB00788
217,2,116,DB00780
218,2,131,DB00115
219,2,132,DB01183
220,2,133,DB08823
221,2,134,DB06711
222,2,423,DB06711
223,2,135,DB01043
224,2,136,DB00826
225,2,137,DB04899
226,2,138,DB00735
227,2,140,DB00393
228,2,141,DB08871
229,2,142,DB00897
230,2,143,DB00502
231,2,144,DB06786
232,2,145,DB01217
233,2,147,DB06650
234,2,29,DB01097
235,2,145,DB00990
236,2,148,DB01280
237,2,150,DB00843
238,2,151,DB05039
239,2,152,DB00569
240,2,1,DB09078
241,2,153,DB01307
242,2,154,DB00368
243,2,20,DB00862
244,2,155,DB01202
245,2,406,DB01202
246,2,72,DB01202
247,2,38,DB01175
248,2,156,DB06403
249,2,158,DB00451
250,2,157,DB00451
251,2,159,DB00291
252,2,160,DB00087
253,2,6,DB00658
254,2,161,DB00558
255,2,162,DB00755
256,2,164,DB00755
257,2,163,DB00480
258,2,98,DB00370
259,2,142,DB00231
260,2,166,DB01233
261,2,165,DB01233
262,2,93,DB00065
263,2,29,DB00065
264,2,167,DB00001
265,2,160,DB00060
266,2,73,DB00216
267,2,168,DB00495
268,2,156,DB00203
269,2,2,DB00203
270,2,169,DB09303
271,2,143,DB09128
272,2,465,DB00811
273,2,35,DB00811
274,2,54,DB00091
275,2,170,DB00091
276,2,171,DB00102
277,2,172,DB01219
278,2,353,DB01219
279,2,173,DB00268
280,2,174,DB00545
281,2,236,DB00545
282,2,237,DB00545
283,2,89,DB00846
284,2,175,DB00308
285,2,176,DB00800
286,2,178,DB00433
287,2,179,DB05239
288,2,180,DB01203
289,2,181,DB00494
290,2,93,DB09029
291,2,182,DB01136
292,2,183,DB00682
293,2,184,DB09083
294,2,185,DB11952
295,2,261,DB00193
296,2,437,DB00193
297,2,440,DB00193
298,2,436,DB00193
299,2,397,DB00193
300,2,186,DB00193
301,2,439,DB00193
302,2,438,DB00193
303,2,187,DB01179
304,2,120,DB00375
305,2,188,DB01014
306,2,189,DB01118
307,2,190,DB00678
308,2,191,DB00970
309,2,103,DB01261
310,2,192,DB08877
311,2,103,DB09038
312,2,193,DB01609
313,2,194,DB01046
314,2,73,DB00952
315,2,195,DB00855
316,2,196,DB06637
317,2,197,DB00292
318,2,103,DB00222
319,2,198,DB00513
320,2,48,DB01060
321,2,341,DB01060
322,2,71,DB00688
323,2,199,DB00688
324,2,200,DB05246
325,2,201,DB09039
326,2,201,DB00053
327,2,86,DB01415
328,2,202,DB00410
329,2,541,DB00410
330,2,542,DB00410
331,2,29,DB00482
332,2,204,DB00486
333,2,205,DB06151
334,2,206,DB01112
335,2,207,DB01320
336,2,173,DB00996
337,2,48,DB00736
338,2,36,DB00736
339,2,208,DB00703
340,2,207,DB00312
341,2,209,DB11828
342,2,173,DB05271
343,2,210,DB00738
344,2,1,DB00398
345,2,212,DB00019
346,2,213,DB00643
347,2,329,DB00136
348,2,215,DB00136
349,2,156,DB01088
350,2,216,DB00188
351,2,217,DB01269
352,2,185,DB11581
353,2,218,DB09299
354,2,153,DB00030
355,2,555,DB00030
356,2,219,DB00030
357,2,220,DB09263
358,2,69,DB00327
359,2,221,DB00327
360,2,42,DB00880
361,2,222,DB00196
362,2,223,DB01250
363,2,224,DB00390
364,2,89,DB00443
365,2,144,DB00443
366,2,479,DB00443
367,2,225,DB08874
368,2,155,DB00819
369,2,226,DB00819
370,2,208,DB00819
371,2,227,DB00177
372,2,190,DB00177
373,2,207,DB00829
374,2,228,DB00829
375,2,125,DB00829
376,2,123,DB00818
377,2,229,DB00925
378,2,230,DB00252
379,2,207,DB00252
380,2,232,DB00853
381,2,99,DB00335
382,2,239,DB06710
383,2,380,DB06710
384,2,30,DB06710
385,2,197,DB00753
386,2,169,DB00966
387,2,160,DB08908
388,2,288,DB00857
389,2,287,DB00857
390,2,95,DB00857
391,2,233,DB01018
392,2,234,DB04572
393,2,235,DB06590
394,2,227,DB09026
395,2,238,DB08911
396,2,210,DB01117
397,2,240,DB01331
398,2,241,DB01331
399,2,67,DB00351
400,2,463,DB00557
401,2,242,DB00557
402,2,243,DB00807
403,2,207,DB00186
404,2,165,DB00186
405,2,190,DB00796
406,2,245,DB00005
407,2,29,DB00005
408,2,246,DB00130
409,2,292,DB00130
410,2,247,DB09033
411,2,53,DB00224
412,2,49,DB01098
413,2,248,DB11633
414,2,249,DB00809
415,2,250,DB01141
416,2,251,DB01024
417,2,180,DB00794
418,2,105,DB00615
419,2,105,DB00330
420,2,252,DB08893
421,2,253,DB00056
422,2,254,DB01272
423,2,255,DB01008
424,2,444,DB01008
425,2,103,DB00412
426,2,484,DB00799
427,2,256,DB00799
428,2,16,DB01126
429,2,69,DB00295
430,2,221,DB00295
431,2,330,DB00295
432,2,257,DB00112
433,2,94,DB00218
434,2,206,DB00218
435,2,190,DB01029
436,2,258,DB01169
437,2,166,DB00747
438,2,200,DB00347
439,2,155,DB00776
440,2,259,DB00869
441,2,260,DB00598
442,2,185,DB06769
443,2,155,DB00273
444,2,180,DB00273
445,2,262,DB00279
446,2,157,DB00279
447,2,259,DB00287
448,2,263,DB00609
449,2,245,DB00563
450,2,54,DB00563
451,2,352,DB00563
452,2,264,DB00563
453,2,103,DB09045
454,2,265,DB13170
455,2,266,DB09068
456,2,251,DB00877
457,2,311,DB00635
458,2,214,DB00635
459,2,267,DB12243
460,2,150,DB00674
461,2,139,DB00749
462,2,268,DB00969
463,2,269,DB00191
464,2,270,DB00542
465,2,49,DB01241
466,2,50,DB00356
467,2,272,DB00264
468,2,271,DB00264
469,2,273,DB00684
470,2,274,DB00684
471,2,1,DB06287
472,2,153,DB00047
473,2,252,DB06702
474,2,89,DB00547
475,2,276,DB00458
476,2,191,DB00773
477,2,279,DB00316
478,2,88,DB00316
479,2,24,DB00316
480,2,278,DB00316
481,2,280,DB00316
482,2,277,DB00316
483,2,281,DB00316
484,2,83,DB00316
485,2,80,DB00560
486,2,282,DB01259
487,2,156,DB00374
488,2,160,DB00108
489,2,218,DB01265
490,2,69,DB00813
491,2,283,DB00813
492,2,284,DB08815
493,2,26,DB06043
494,2,259,DB00905
495,2,285,DB00905
496,2,155,DB00555
497,2,286,DB00555
498,2,289,DB00695
499,2,72,DB00906
500,2,185,DB08935
501,2,290,DB05018
502,2,291,DB01003
503,2,292,DB08900
504,2,293,DB01041
505,2,294,DB00024
506,2,295,DB05245
507,2,296,DB00310
508,2,297,DB00388
509,2,298,DB01610
510,2,270,DB00584
511,2,299,DB00584
512,2,300,DB00577
513,2,301,DB00512
514,2,302,DB00512
515,2,303,DB00385
516,2,89,DB01047
517,2,304,DB00067
518,2,133,DB00772
519,2,305,DB00907
520,2,229,DB00765
521,2,41,DB00618
522,2,306,DB00299
523,2,307,DB01130
524,2,308,DB01130
525,2,309,DB00987
526,2,144,DB01260
527,2,310,DB00859
528,2,48,DB05351
529,2,313,DB00746
530,2,314,DB00454
531,2,221,DB00454
532,2,289,DB00214
533,2,252,DB01036
534,2,315,DB09079
535,2,358,DB00367
536,2,316,DB00367
537,2,317,DB00017
538,2,318,DB00017
539,2,173,DB00413
540,2,73,DB00320
541,2,321,DB00411
542,2,42,DB00999
543,2,322,DB00761
544,2,323,DB09107
545,2,259,DB00484
546,2,60,DB00484
547,2,98,DB00457
548,2,90,DB00698
549,2,325,DB01413
550,2,324,DB01413
551,2,326,DB00470
552,2,540,DB01234
553,2,43,DB01234
554,2,564,DB01234
555,2,44,DB01234
556,2,73,DB00953
557,2,190,DB00519
558,2,192,DB01168
559,2,84,DB00972
560,2,333,DB00945
561,2,214,DB00945
562,2,169,DB00945
563,2,331,DB00945
564,2,45,DB00945
565,2,129,DB00945
566,2,332,DB00945
567,2,334,DB00945
568,2,101,DB06413
569,2,336,DB06612
570,2,338,DB06204
571,2,337,DB06204
572,2,339,DB05013
573,2,395,DB01085
574,2,259,DB01085
575,2,340,DB06809
576,2,29,DB00814
577,2,194,DB09049
578,2,342,DB00828
579,2,116,DB01068
580,2,97,DB00465
581,2,221,DB00465
582,2,190,DB00790
583,2,344,DB00759
584,2,343,DB00759
585,2,41,DB00759
586,2,103,DB01132
587,2,270,DB00881
588,2,345,DB04930
589,2,346,DB00549
590,2,48,DB01129
591,2,347,DB01129
592,2,348,DB01285
593,2,264,DB01285
594,2,32,DB01285
595,2,349,DB00061
596,2,26,DB00997
597,2,350,DB08870
598,2,59,DB00668
599,2,351,DB00640
600,2,153,DB00046
601,2,156,DB08931
602,2,421,DB01200
603,2,353,DB01200
604,2,9,DB00540
605,2,354,DB12865
